TSP,SO2,PB,CD
44.0,2.11,4.8,0.26
55.0,0.99,1.0,0.1
11.0,0.36,4.0,0.1
18.0,0.18,5.0,0.1
5.0,0.17,2.5,0.1
10.0,0.3,5.5,0.1
22.0,0.53,1.0,0.1
14.0,0.38,4.8,0.1
29.0,0.29,7.2,0.3
32.0,0.96,18.0,0.5
35.0,2.32,13.0,0.3
32.0,1.61,15.0,0.43
80.0,1.3,15.0,0.39
29.0,1.13,28.0,0.87
54.0,2.06,19.0,0.74
33.0,0.66,15.0,0.41
15.0,2.96,4.5,0.1
15.0,1.78,9.6,0.22
12.0,4.18,2.6,0.21
16.0,3.95,1.0,0.1
22.0,4.9,13.0,0.29
19.0,2.8,7.1,0.2
26.0,0.54,7.9,0.27
46.0,5.16,13.0,0.1
298.0,3.36,28.0,0.1
288.0,6.35,12.0,0.1
17.0,2.26,8.8,0.1
23.0,1.64,2.9,0.24
50.0,4.25,4.5,0.1
45.0,6.1,9.5,0.1
11.0,1.76,1.0,0.1
4.0,1.18,1.0,0.1
13.0,1.35,15.0,0.1
31.0,1.33,1.0,0.1
6.0,1.57,1.0,0.1
12.0,2.94,3.3,0.1
16.0,6.64,1.0,0.1
6.0,4.34,2.7,0.1
13.0,4.49,1.0,0.1
13.0,4.17,2.1,0.1
20.0,4.57,3.8,0.1
44.0,13.6,1.0,0.1
31.0,15.1,1.0,0.1
38.0,12.2,1.0,0.1
17.0,6.29,1.0,0.1
32.0,12.8,20.0,0.37
33.0,11.3,17.0,0.47
24.0,2.51,1.0,0.1
33.0,2.85,2.0,0.28
28.0,1.89,1.0,0.25
36.0,1.25,1.0,0.1
25.0,1.31,1.0,0.1
17.0,1.28,1.0,0.1
23.0,1.15,3.2,0.2
33.0,11.9,1.0,0.22
21.0,12.2,5.9,0.1
25.0,12.6,1.0,0.33
39.0,1.57,1.0,0.3
34.0,2.98,4.6,0.28
8.0,0.53,1.0,0.1
8.0,0.79,1.0,0.1
3.0,0.37,2.4,0.2
10.0,2.49,1.0,0.1
5.0,3.79,5.6,0.1
9.0,4.28,2.7,0.1
18.0,6.67,11.0,0.1
16.0,5.97,7.3,0.23
13.0,3.9,9.2,0.22
22.0,3.24,21.0,0.1
5.0,0.79,2.6,0.1
6.0,1.91,1.0,0.1
17.0,7.43,9.4,0.29
44.0,3.02,26.0,0.96
51.0,13.6,26.0,0.29
40.0,10.1,11.0,0.1
74.0,10.8,26.0,0.1
6.0,1.49,2.1,0.1
10.0,3.35,5.2,0.1
17.0,1.47,7.4,0.1
26.0,3.39,17.0,0.38
26.0,4.99,10.0,0.23
33.0,7.36,14.0,0.26
35.0,6.07,21.0,0.36
44.0,5.48,16.0,0.27
16.0,2.5,5.8,0.1
27.0,2.71,16.0,0.43
26.0,4.79,14.0,0.24
21.0,2.44,9.4,0.1
54.0,8.72,5.3,0.18
51.0,11.1,8.9,0.13
25.0,4.26,8.1,0.13
18.0,1.24,7.0,0.18
24.0,3.77,10.0,0.19
24.0,1.62,8.4,0.23
22.0,1.62,7.7,0.15
38.0,8.83,16.0,0.34
14.0,1.83,15.0,0.29
3.0,0.82,1.3,0.13
22.0,0.58,5.7,0.16
31.0,3.39,14.0,0.4
19.0,1.67,5.4,0.14
16.0,0.65,3.9,0.19
8.0,1.41,2.4,0.18
17.0,5.14,6.4,0.42
18.0,5.98,8.4,0.14
50.0,5.37,12.0,0.13
26.0,6.42,10.0,0.47
72.0,1.5,18.0,0.5
34.0,2.67,6.9,0.18
43.0,0.38,4.9,0.22
39.0,0.76,8.1,0.21
62.0,0.74,4.7,0.14
62.0,1.44,16.0,0.32
37.0,1.01,6.4,0.21
66.0,0.92,13.0,0.35
57.0,0.76,11.0,0.24
40.0,0.75,10.0,0.34
57.0,0.63,5.9,0.25
50.0,1.0,6.5,0.22
67.0,1.18,6.3,0.2
37.0,1.17,4.7,0.34
32.0,0.84,7.3,0.21
48.0,0.84,7.2,0.21
73.0,1.39,13.0,0.27
47.0,0.38,5.8,0.14
61.0,1.42,13.0,0.14
35.0,0.37,2.9,0.14
48.0,0.15,4.1,0.17
64.0,0.86,8.5,0.24
81.0,1.84,11.0,0.19
72.0,0.8,7.4,0.19
137.0,0.85,16.0,0.31
71.0,0.54,2.7,0.14
64.0,0.85,4.5,0.16
75.0,0.85,9.4,0.19
60.0,0.77,5.3,0.14
19.0,0.6,11.2,0.07
23.0,0.94,10.4,0.07
40.0,1.08,11.2,0.07
22.0,0.55,4.7,0.07
28.0,1.16,11.9,0.07
21.0,1.08,9.5,0.07
11.0,0.66,6.1,0.07
10.0,0.68,4.7,0.07
19.0,0.59,4.6,0.07
26.0,0.77,4.4,0.07
20.0,0.79,41.0,0.07
37.0,0.99,7.0,0.07
22.0,0.5,10.6,0.08
27.0,0.37,24.3,0.07
21.0,0.08,8.7,0.07
21.0,0.16,5.8,0.07
14.0,0.48,6.3,0.07
34.0,0.76,6.5,0.27
36.0,0.84,7.8,0.07
17.0,0.15,7.3,0.07
13.0,0.06,4.8,0.07
30.0,0.93,5.8,0.07
15.0,0.36,20.0,0.07
22.0,1.2,6.3,0.07
26.0,0.74,8.8,0.07
31.0,0.74,0.7,0.07
34.0,0.48,11.4,0.07
56.0,1.07,14.2,0.07
44.0,0.75,12.8,0.07
19.0,0.37,4.1,0.07
36.0,0.71,11.4,0.07
40.0,0.76,15.0,0.07
23.0,0.56,16.2,0.07
48.0,0.79,14.6,0.18
65.0,0.62,18.4,0.07
57.0,0.9,11.5,0.07
45.0,0.84,12.1,0.07
25.0,0.25,5.4,0.07
40.0,0.76,29.5,0.43
48.0,0.54,12.4,0.07
27.0,0.24,13.5,0.07
51.0,0.54,7.5,0.07
42.0,0.52,5.1,0.07
34.0,0.92,0.7,0.07
50.0,0.97,12.6,0.07
38.0,0.77,8.0,0.07
40.0,1.01,6.8,0.07
43.0,0.71,3.9,0.07
64.0,0.92,7.3,0.07
48.0,0.97,5.0,0.07
55.0,0.85,19.1,0.07
56.0,0.49,3.2,0.07
39.0,0.24,3.2,0.07
44.0,0.34,3.4,0.07
12.0,0.24,5.57,0.43
22.0,0.57,9.09,0.3
33.0,0.73,4.81,0.07
31.0,0.43,5.42,0.34
28.0,0.64,6.71,0.24
37.0,0.87,3.82,0.07
50.0,0.74,11.1,0.38
53.0,0.49,13.6,0.48
61.0,1.95,12.5,0.45
70.0,1.11,14.8,0.32
48.0,0.64,2.07,1.64
32.0,0.06,7.33,0.56
11.0,0.28,0.71,0.46
13.0,0.18,6.31,0.18
22.0,0.24,4.3,0.52
15.0,0.58,6.76,0.49
13.0,0.64,12.9,1.2
21.0,0.67,11.0,1.15
32.0,0.97,10.3,0.72
18.0,0.18,5.67,0.33
13.0,0.21,1.94,0.16
19.0,0.43,7.4,0.68
10.0,0.52,4.66,0.37
7.0,0.59,4.66,0.54
7.0,0.84,3.39,0.35
4.0,0.09,7.73,0.45
4.0,0.54,2.09,0.46
16.0,0.54,5.92,0.62
4.0,0.63,9.35,0.71
10.0,0.59,9.81,0.64
14.0,0.15,5.25,0.2
14.0,0.53,6.5,0.2
7.0,0.69,2.97,0.07
4.0,0.61,1.72,0.07
16.0,0.83,4.88,0.07
16.0,0.34,2.3,0.07
20.0,0.21,7.84,0.2
53.0,0.65,9.42,0.24
37.0,0.69,5.25,0.07
